customer_id,customer_name,state,acquisition_channel,signup_date
CUST-00001,Ana Pereira,PR,paid_search,2024-04-24
CUST-00002,Bruno Santos,DF,social,2024-05-22
CUST-00003,Ana Santos,PR,paid_search,2024-02-02
CUST-00004,Rafael Silva,GO,paid_search,2025-06-01
CUST-00005,Diego Almeida,DF,marketplace,2025-03-05
CUST-00006,Carla Rodrigues,SC,marketplace,2024-01-07
CUST-00007,Diego Costa,RJ,organic,2024-06-08
CUST-00008,Bruno Costa,SC,email,2025-01-24
CUST-00009,Ana Almeida,GO,organic,2024-09-27
CUST-00010,Bruno Pereira,DF,marketplace,2025-01-22
CUST-00011,Bruno Silva,PR,marketplace,2024-07-15
CUST-00012,Diego Santos,BA,marketplace,2024-03-22
CUST-00013,Gustavo Oliveira,SC,marketplace,2025-04-09
CUST-00014,Fernanda Santos,DF,paid_search,2024-08-02
CUST-00015,Carla Almeida,BA,marketplace,2024-09-07
CUST-00016,Gustavo Silva,PR,organic,2024-08-12
CUST-00017,Juliana Pereira,RJ,paid_search,2024-11-19
CUST-00018,Diego Almeida,BA,social,2024-11-18
CUST-00019,Fernanda Oliveira,PR,email,2024-05-26
CUST-00020,Rafael Rodrigues,DF,social,2024-09-26
CUST-00021,Diego Oliveira,GO,social,2025-01-05
CUST-00022,Ana Santos,MG,paid_search,2024-04-03
CUST-00023,Rafael Santos,BA,social,2025-03-08
CUST-00024,Mariana Pereira,GO,organic,2025-04-24
CUST-00025,Mariana Pereira,SC,organic,2024-04-27
CUST-00026,Juliana Oliveira,PE,organic,2024-10-27
CUST-00027,Mariana Oliveira,GO,organic,2024-09-26
CUST-00028,Mariana Souza,MG,marketplace,2024-11-01
CUST-00029,Mariana Silva,DF,marketplace,2024-06-14
CUST-00030,Ana Santos,SC,marketplace,2025-05-15
CUST-00031,Ana Souza,DF,organic,2024-09-02
CUST-00032,Lucas Santos,GO,paid_search,2024-03-28
CUST-00033,Lucas Oliveira,RS,email,2024-05-11
CUST-00034,Diego Souza,RS,social,2025-03-09
CUST-00035,Lucas Almeida,RJ,paid_search,2025-01-17
CUST-00036,Bruno Costa,SP,email,2024-08-18
CUST-00037,Rafael Souza,SP,organic,2024-08-23
CUST-00038,Diego Santos,SP,marketplace,2024-03-01
CUST-00039,Mariana Souza,RS,social,2024-03-13
CUST-00040,Mariana Oliveira,DF,email,2024-08-07
CUST-00041,Diego Almeida,BA,paid_search,2025-04-29
CUST-00042,Bruno Rodrigues,SC,social,2024-04-06
CUST-00043,Lucas Silva,RJ,organic,2025-02-24
CUST-00044,Gustavo Santos,PR,paid_search,2025-02-16
CUST-00045,Mariana Almeida,MG,social,2024-07-13
CUST-00046,Fernanda Almeida,PR,organic,2024-07-06
CUST-00047,Mariana Santos,SP,email,2025-03-29
CUST-00048,Bruno Souza,MG,social,2024-01-16
CUST-00049,Lucas Souza,BA,organic,2025-05-12
CUST-00050,Juliana Silva,BA,marketplace,2024-06-17
CUST-00051,Fernanda Rodrigues,GO,social,2025-04-10
CUST-00052,Diego Pereira,PR,organic,2024-06-07
CUST-00053,Gustavo Silva,SP,email,2024-03-03
CUST-00054,Mariana Oliveira,SP,email,2025-05-03
CUST-00055,Carla Santos,DF,organic,2024-03-23
CUST-00056,Juliana Santos,DF,paid_search,2024-08-28
CUST-00057,Rafael Santos,BA,email,2024-02-10
CUST-00058,Gustavo Pereira,PR,marketplace,2025-06-19
CUST-00059,Fernanda Rodrigues,MG,marketplace,2024-09-01
CUST-00060,Gustavo Santos,SP,social,2025-04-13
CUST-00061,Bruno Souza,GO,marketplace,2024-04-12
CUST-00062,Gustavo Santos,PR,marketplace,2024-05-15
CUST-00063,Carla Almeida,GO,marketplace,2024-10-18
CUST-00064,Mariana Pereira,RJ,paid_search,2024-01-09
CUST-00065,Bruno Santos,GO,paid_search,2024-09-27
